activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059075504,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,32,1,2,2,2,475000,56.02,3.875,0.233,2,12742,NA,2065,NA,,360,NA,NA,2,2,2,2,835000,1,1,3,5,1,NA,7,46,1,10,2,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,2,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,4330,42.24,97900,98,932,1111,47
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065040607,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,32,1,2,2,2,485000,74.52,4,0.368,2,8915.45,NA,6933.5,NA,,360,NA,NA,2,2,2,2,655000,1,1,3,5,1,NA,11,47,1,10,2,,,,,4,,,,,1,3,2,27,,,,6,,,,,2,3,1,4,1,3,45-54,9999,No,NA,1,1,2,,,,,10,,,,8805,74.66,69700,149,1516,2261,11
2019,5493001K7B4W8IPMZ254,40900,CA,6067,6067008138,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,31,1,2,2,2,205000,59.71,3.625,NA,2,5499,NA,3810,NA,,180,NA,NA,2,2,2,2,355000,1,3,3,5,1,NA,20,46,2,2,2,,,,,2,,,,,2,3,2,27,,,,2,27,,,,2,3,2,1,2,3,55-64,55-64,No,No,1,1,2,,,,,10,,,,3850,36.44,84000,105,682,1053,42
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037241202,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,2,2,2,31,1,2,2,2,445000,82.71,4.625,1.239,2,7180.07,NA,2290,NA,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,0,NA,3,10,1,14,,,,4,,,,,3,3,6,,,,,6,,,,,3,3,1,4,3,3,55-64,9999,No,NA,1,1,3,,,,,10,,,,4930,99.23,73100,58,456,1170,69
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037402703,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,31,1,2,2,2,235000,54.76,3.25,0.218,2,3462.3,NA,2090,NA,,180,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,11,20%-<30%,1,1,2,,,,,2,,,,,1,3,2,25,,,,2,25,,,,2,3,1,2,1,3,45-54,35-44,No,No,1,1,1,,,,,10,,,,4714,87.82,73100,105,741,1115,50
2019,5493001K7B4W8IPMZ254,12540,CA,6029,6029003202,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,31,1,2,2,2,215000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,0,NA,9,9,1,14,,,,4,,,,,2,3,5,,,,,5,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,17619,88.09,57900,85,2472,4330,16
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059110113,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,2,1,31,1,2,2,2,575000,71.5,3.875,0.21,2,9105.66,NA,6915,NA,,360,NA,NA,2,2,2,2,805000,1,1,3,5,1,NA,9,40,2,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,1,,,,,10,,,,2386,54.86,97900,120,587,682,45
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071009906,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,1,1,1,1,2,2,2,205000,85,5.875,NA,2,8517.45,NA,5905,NA,,360,NA,NA,2,2,2,2,255000,1,3,3,5,1,NA,6,46,3,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,4852,78.07,69700,93,909,1482,22
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037211704,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,31,1,2,2,2,315000,72.09,3.875,0.122,2,4228,NA,2090,NA,,360,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,6,42,1,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,2,4,2,3,35-44,9999,No,NA,1,1,1,,,,,10,,,,2931,84.65,73100,76,130,68,52
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037602004,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,32,1,2,2,2,345000,64.3,5.75,1.975,2,11301.66,NA,8970,NA,,360,NA,84,2,2,2,2,535000,1,1,3,5,1,NA,8,37,3,10,2,,,,,4,,,,,1,3,5,,,,,6,,,,,1,3,2,4,1,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,4122,95.61,73100,65,491,1032,65
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059011000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,9,2,1,31,1,2,2,2,535000,58.15,5.75,1.858,2,16223,NA,12690,NA,,360,NA,84,2,2,2,2,925000,1,1,3,5,1,NA,13,48,2,10,2,,,,,4,,,,,1,3,2,27,,,,6,,,,,2,3,2,4,1,3,35-44,9999,No,NA,1,1,6,,,,,10,,,,6058,53.68,97900,78,1281,1748,56
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065043308,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,2,1,2,1,1,2,2,2,185000,96.5,4.625,1.297,2,10904.63,NA,5278,NA,,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,3,50%-60%,1,10,3,,,,,4,,,,,2,3,6,,,,,6,,,,,2,3,2,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,2506,58.9,69700,66,313,691,46
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037910201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Female,1,2,1,2,1,1,2,2,2,355000,96.5,3.5,0.041,2,15547.95,NA,5939,NA,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,6,49,2,10,3,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,2,4,2,3,25-34,9999,No,NA,1,1,3,,,,,10,,,,3633,69.2,73100,109,755,1202,35
2019,5493001K7B4W8IPMZ254,40900,CA,6061,6061021309,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,31,1,2,2,2,395000,67.46,3.125,-0.035,2,3434,NA,1720,NA,,180,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,20,46,1,1,2,,,,,2,,,,,2,3,2,27,,,,2,27,,,,2,3,2,1,2,3,55-64,55-64,No,No,1,1,2,,,,,10,,,,11193,33.73,84000,141,2687,2774,13
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059011722,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,31,1,2,2,2,555000,77.03,3.75,0.012,2,4664.45,NA,1990,NA,,360,NA,NA,2,2,2,2,725000,1,1,3,5,1,NA,10,43,1,1,2,,,,,2,,,,,2,3,2,25,,,,2,25,,,,2,3,1,2,2,3,25-34,25-34,No,No,1,1,1,,,,,10,,,,2621,52.35,97900,90,609,710,39
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037503106,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,32,1,2,2,2,475000,85,3.625,0.795,2,13486.86,NA,3040,NA,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,7,50%-60%,2,2,1,14,,,,1,14,,,,2,3,5,,,,,5,,,,,2,3,1,2,2,3,35-44,35-44,No,No,1,1,3,,,,,10,,,,3390,78.2,73100,86,538,849,57
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037503703,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,2,1,31,1,2,2,2,415000,69.67,3.5,0.168,2,14023.09,NA,11959.39,5747.5,,360,NA,NA,2,2,2,2,605000,1,1,3,5,1,NA,7,30%-<36%,3,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,2,4,2,3,55-64,9999,Yes,NA,1,1,1,,,,,10,,,,7841,72.72,73100,147,2134,2327,24
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071010019,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,2,2,31,1,2,2,2,305000,84.7,4,0.422,2,4954.38,NA,1370,NA,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,0,NA,1,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,5274,59.9,69700,70,820,1558,36
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071011700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,3,1,1,1,1,2,2,2,115000,85,5.5,2.106,2,6052.5,NA,3413,NA,,360,NA,NA,2,2,2,2,145000,1,1,3,5,1,NA,5,38,3,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,<25,9999,No,NA,1,1,2,,,,,10,,,,1535,53.16,69700,64,317,697,33
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037402600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,2,2,31,1,2,2,2,425000,96.65,3.875,0.283,2,6140.45,NA,1370,NA,,360,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,0,NA,3,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,3,,,,,10,,,,6999,75.47,73100,74,1243,2199,76
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059032056,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,485000,96.5,3.75,0.207,2,15936.8,NA,2290,NA,,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,10,47,3,10,2,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,3,,,,,10,,,,7857,38.5,97900,171,1869,1903,18
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037670100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Female,1,1,1,1,1,1,2,2,2,625000,80,3.5,-0.013,2,6191.16,NA,2090,NA,,360,NA,NA,2,2,2,2,785000,1,1,3,5,1,NA,8,45,3,10,2,,,,,4,,,,,2,3,6,,,,,6,,,,,2,3,2,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,6815,59.05,73100,104,1090,1639,48
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059001708,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,31,1,2,2,2,535000,79.55,4,0.263,2,3889,NA,2115,NA,,360,NA,NA,2,2,2,2,675000,1,1,3,5,1,NA,10,49,2,2,2,,,,,2,,,,,2,3,2,25,,,,2,25,,,,2,3,1,2,2,3,55-64,55-64,Yes,No,1,1,1,,,,,10,,,,3487,61.37,97900,118,1137,1279,42
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037535400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,2,125000,33.8,4,0.796,2,5379.32,NA,3395,NA,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,3,38,3,10,1,11,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,2,4,2,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,3411,99.5,73100,44,241,749,65
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071002306,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,365000,96.5,4,0.456,2,12796.86,NA,2840,NA,,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,7,50%-60%,2,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,3,,,,,10,,,,4201,89.93,69700,115,831,1003,0
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071000104,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,32,1,2,2,2,435000,60,3.875,0.145,2,3448,NA,2090,NA,,360,NA,NA,2,2,2,2,725000,1,1,3,5,1,NA,11,20%-<30%,1,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,6081,77.41,69700,167,1372,1692,29
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037920034,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,1,2,1,1,2,2,2,535000,96.5,4.125,0.751,2,19412.93,NA,5965,NA,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,8,50%-60%,1,1,1,11,,,,1,11,,,,2,3,5,,,,,5,,,,,2,3,1,2,2,3,45-54,35-44,No,No,1,1,3,,,,,10,,,,3748,49.55,73100,110,836,1036,33
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037543602,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,32,1,2,2,2,385000,58.33,4.125,0.572,2,3993,NA,1990,NA,,360,NA,NA,2,2,2,2,665000,1,1,3,5,1,NA,6,45,3,3,2,,,,,2,,,,,1,3,2,25,,,,2,25,,,,2,3,1,2,1,3,55-64,45-54,No,No,1,1,2,,,,,10,,,,7920,86.62,73100,122,1970,2382,42
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059110106,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,475000,76.29,3.25,-0.305,2,5667.45,NA,3560,NA,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,8,41,1,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,1,,,,,10,,,,3917,56.29,97900,99,942,1211,48
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071010021,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,31,1,2,2,2,355000,95.59,3.5,0.055,2,6148.6,NA,1370,NA,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,0,NA,1,10,2,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,6275,48.76,69700,85,1628,2110,31
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037300200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,3,1,1,1,1,2,2,2,725000,76.42,3.875,0.422,2,17941.5,NA,12980,NA,,360,NA,NA,2,2,2,2,955000,1,1,3,5,1,NA,16,20%-<30%,3,10,2,,,,,4,,,,,1,3,2,25,,,,6,,,,,2,3,2,4,1,3,55-64,9999,No,NA,1,1,2,,,,,10,,,,5676,52.11,73100,148,1417,1686,62
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071001002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,1,2,1,1,2,2,2,415000,96.5,3.5,0.2,2,13631.7,NA,2190,NA,,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,7,45,3,3,2,,,,,2,,,,,2,3,3,,,,,3,,,,,2,3,2,1,2,3,<25,25-34,No,No,1,1,3,,,,,10,,,,6003,92.99,69700,68,569,1052,53
2019,5493001K7B4W8IPMZ254,11244,CA,6059,6059110014,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,1,2,1,31,1,2,2,2,365000,59.35,3.625,0.054,2,3709,NA,1990,NA,,360,NA,NA,2,2,2,2,615000,1,1,3,5,1,NA,17,20%-<30%,3,3,2,,,,,2,,,,,2,3,2,25,,,,2,25,,,,2,3,1,2,2,3,45-54,45-54,No,No,1,1,1,,,,,10,,,,5002,56.02,97900,79,201,1091,43
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037502301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,1,2,1,2,1,1,2,2,2,535000,96.5,3.875,0.483,2,16057.8,NA,2590,NA,,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,7,50%-60%,3,10,3,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,6234,96.62,73100,110,1064,1390,59
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037403322,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,2,1,31,1,2,2,2,355000,59.32,3.25,0.267,2,3832.3,NA,2090,NA,,180,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,10,46,1,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,2,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,4001,74.38,73100,149,966,1248,41
2019,5493001K7B4W8IPMZ254,40900,CA,6067,6067007018,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,305000,71.63,4,NA,2,3459,NA,1720,NA,,360,NA,NA,2,2,2,2,435000,1,3,3,5,1,NA,21,38,2,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,4902,73.62,84000,90,485,674,11
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037503802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,0,1,1,1,1,2,2,2,165000,48.07,5.5,1.73,2,7847.5,NA,4490,NA,,360,NA,84,2,2,2,2,345000,1,1,3,5,1,NA,5,30%-<36%,3,10,2,,,,,4,,,,,1,3,2,25,,,,6,,,,,2,3,2,4,1,3,55-64,9999,Yes,NA,1,1,6,,,,,10,,,,5081,69.83,73100,136,1380,1294,54
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071001600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,1,2,2,2,32,1,2,2,2,315000,85,3.875,0.462,2,14044.43,NA,7330,NA,,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,5,42,3,10,3,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,5940,97.46,69700,46,579,1540,56
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037239330,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,3,2,1,32,1,2,2,2,405000,80,4,0.639,2,8755,NA,6560,NA,,360,NA,NA,2,2,2,2,515000,1,1,3,5,1,NA,6,44,3,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,2,,,,,10,,,,3129,100,73100,56,224,695,60
2019,5493001K7B4W8IPMZ254,41940,CA,6085,6085511911,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,31,1,2,2,2,445000,35.06,3.75,0.014,2,4293,NA,2090,NA,,360,NA,NA,2,2,2,2,1255000,1,1,3,5,1,NA,8,43,1,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,1,,,,,10,,,,5069,41.45,129900,125,1415,1492,34
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037403901,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,2,1,2,1,1,2,2,2,545000,96.5,3.875,0.452,2,15977.08,NA,2290,NA,,360,NA,NA,2,2,2,2,565000,1,1,3,5,1,NA,12,41,1,10,1,14,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,3437,65.26,73100,108,746,938,0
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037300901,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,31,1,2,2,2,695000,51.11,4,0.252,2,4417,NA,2090,NA,,360,NA,NA,2,2,2,2,1355000,1,1,3,5,1,NA,14,44,3,3,2,,,,,2,,,,,1,3,2,25,,,,2,25,,,,2,3,1,2,1,3,55-64,55-64,Yes,No,1,1,2,,,,,10,,,,6307,38.23,73100,242,1888,2289,47
2019,5493001K7B4W8IPMZ254,40140,CA,6065,6065045215,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,1,1,1,1,2,2,2,245000,75,4,NA,2,6179.25,NA,3308.75,NA,,360,NA,NA,2,2,2,2,335000,1,3,3,5,1,NA,17,39,3,10,2,,,,,4,,,,,1,3,2,25,,,,6,,,,,2,3,1,4,1,3,55-64,9999,No,NA,1,1,1,,,,,10,,,,9739,39.82,69700,157,2541,3600,18
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037403322,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,645000,74.14,3.75,0.195,2,7397.5,NA,5315,NA,,360,NA,NA,2,2,2,2,875000,1,1,3,5,1,NA,17,36,3,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,1,,,,,10,,,,4001,74.38,73100,149,966,1248,41
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037300100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,0,1,1,1,1,2,2,2,305000,32.43,5.25,1.534,2,9953.5,NA,5190,NA,,360,NA,84,2,2,2,2,925000,1,1,3,5,1,NA,7,40,3,10,2,,,,,4,,,,,2,3,2,25,,,,6,,,,,2,3,1,4,2,3,45-54,9999,No,NA,1,1,6,,,,,10,,,,5961,33.38,73100,203,1853,2050,55
2019,5493001K7B4W8IPMZ254,40140,CA,6071,6071009201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,2,2,2,32,1,2,2,2,355000,85,4,0.552,2,13577,NA,5675,NA,,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,16,<20%,2,10,2,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,3,,,,,10,,,,4442,17.67,69700,91,1108,2741,39
2019,5493001K7B4W8IPMZ254,36084,CA,6001,6001450750,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,2,1,31,1,2,2,2,685000,74.73,3.5,-0.078,2,4134,NA,1720,NA,,360,NA,NA,2,2,2,2,915000,1,1,3,5,1,NA,21,37,2,10,2,,,,,4,,,,,2,3,2,27,,,,6,,,,,2,3,1,4,2,3,25-34,9999,No,NA,1,1,1,,,,,10,,,,4312,58.53,111700,119,942,757,11
2019,5493001K7B4W8IPMZ254,37100,CA,6111,6111007700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,1,2,1,1,2,2,2,485000,90,3.5,0.138,2,18406.49,NA,5615,NA,,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,8,50%-60%,1,10,2,,,,,4,,,,,1,3,2,27,,,,6,,,,,2,3,1,4,1,3,45-54,9999,No,NA,1,1,3,,,,,10,,,,6041,52.29,97800,102,1355,1848,35
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037910402,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,1,2,1,2,1,1,2,2,2,295000,96.5,4.5,1.198,2,11303.22,NA,2290,NA,,360,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,5,46,2,10,1,14,,,,4,,,,,3,3,6,,,,,6,,,,,3,3,1,4,3,3,35-44,9999,No,NA,1,1,3,,,,,10,,,,3582,89.48,73100,46,227,848,53
2019,5493001K7B4W8IPMZ254,31084,CA,6037,6037910404,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,White,Male,1,2,1,2,1,1,2,2,2,295000,96.5,3.375,0.126,2,13166.25,NA,4711.06,NA,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,5,50%-60%,1,10,3,,,,,4,,,,,2,3,5,,,,,6,,,,,2,3,1,4,2,3,55-64,9999,No,NA,1,1,3,,,,,10,,,,3710,80.32,73100,76,541,953,33
